phase,env_steps,env_steps_per_second,train_updates_per_second,samples_per_second,total_train_step_time,component_seconds,latest_update_seconds,latest_sample_seconds
warmup_unmeasured,128,182.50996353864966,0.0,0.0,0.7013315740041435,,,
warmup_unmeasured,256,3646.88771285476,0.0,0.0,0.035098420921713114,,,
warmup_unmeasured,384,3823.2545126583263,0.0,0.0,0.033479330129921436,,,
warmup_unmeasured,512,3826.781133474529,0.0,0.0,0.03344847681000829,,,
warmup_unmeasured,640,3856.1897780564072,0.0,0.0,0.03319338709115982,,,
warmup_unmeasured,768,3621.911595458804,0.0,0.0,0.03534045396372676,,,
warmup_unmeasured,896,3776.20862942228,0.0,0.0,0.033896432258188725,,,
warmup_unmeasured,1024,3842.833497052503,0.0,0.0,0.0333087551407516,,,
warmup_unmeasured,1152,3265.243130479232,0.0,0.0,0.03920075623318553,,,
warmup_unmeasured,1280,3577.7833495895416,0.0,0.0,0.035776341799646616,,,
warmup_unmeasured,1408,3778.462147378191,0.0,0.0,0.033876216039061546,,,
warmup_unmeasured,1536,3806.137503607571,0.0,0.0,0.03362989379093051,,,
warmup_unmeasured,1664,3802.494420252067,0.0,0.0,0.03366211382672191,,,
warmup_unmeasured,1792,3802.9958829572065,0.0,0.0,0.03365767514333129,,,
warmup_unmeasured,1920,3810.9581095041567,0.0,0.0,0.033587354235351086,,,
warmup_unmeasured,2048,3689.3721361564244,0.0,0.0,0.03469425020739436,,,
warmup_unmeasured,2176,3732.141772610851,0.0,0.0,0.03429666068404913,,,
warmup_unmeasured,2304,3680.3138774663316,0.0,0.0,0.03477964224293828,,,
warmup_unmeasured,2432,3743.3377048246252,0.0,0.0,0.03419408295303583,,,
warmup_unmeasured,2560,3731.124030087683,0.0,0.0,0.03430601581931114,,,
warmup_unmeasured,2688,3706.6351127061366,0.0,0.0,0.03453266806900501,,,
warmup_unmeasured,2816,3720.1957202725534,0.0,0.0,0.034406791906803846,,,
warmup_unmeasured,2944,3681.992715632024,0.0,0.0,0.034763784147799015,,,
