phase,env_steps,env_steps_per_second,train_updates_per_second,samples_per_second,total_train_step_time,component_seconds,latest_update_seconds,latest_sample_seconds
warmup_unmeasured,128,186.89600918758623,0.0,0.0,0.6848728368058801,,,
warmup_unmeasured,256,3652.2108313216877,0.0,0.0,0.03504726476967335,,,
warmup_unmeasured,384,3749.970030488247,0.0,0.0,0.03413360612466931,,,
warmup_unmeasured,512,3750.7268138387863,0.0,0.0,0.03412671899423003,,,
warmup_unmeasured,640,3757.7908579886007,0.0,0.0,0.03406256623566151,,,
warmup_unmeasured,768,3758.643927390563,0.0,0.0,0.034054835326969624,,,
warmup_unmeasured,896,3756.877534057998,0.0,0.0,0.0340708470903337,,,
warmup_unmeasured,1024,3748.594327027688,0.0,0.0,0.03414613287895918,,,
warmup_unmeasured,1152,3763.765489608783,0.0,0.0,0.034008495043963194,,,
warmup_unmeasured,1280,3764.8837266770574,0.0,0.0,0.033998393919318914,,,
warmup_unmeasured,1408,3703.555389640424,0.0,0.0,0.03456138400360942,,,
warmup_unmeasured,1536,3755.5361132700614,0.0,0.0,0.0340830166824162,,,
warmup_unmeasured,1664,3761.6522327125117,0.0,0.0,0.03402760066092014,,,
warmup_unmeasured,1792,3766.29004361835,0.0,0.0,0.03398569906130433,,,
warmup_unmeasured,1920,3765.2043396940403,0.0,0.0,0.03399549890309572,,,
warmup_unmeasured,2048,3771.596829584297,0.0,0.0,0.03393787983804941,,,
warmup_unmeasured,2176,3764.715990007868,0.0,0.0,0.033999908715486526,,,
warmup_unmeasured,2304,3769.8853530020224,0.0,0.0,0.03395328717306256,,,
warmup_unmeasured,2432,3754.35347690157,0.0,0.0,0.03409375296905637,,,
warmup_unmeasured,2560,3767.7130594907344,0.0,0.0,0.03397286310791969,,,
warmup_unmeasured,2688,3778.1067129748494,0.0,0.0,0.03387940302491188,,,
warmup_unmeasured,2816,3773.2075644273095,0.0,0.0,0.03392339218407869,,,
warmup_unmeasured,2944,3759.416710239424,0.0,0.0,0.034047835040837526,,,
warmup_unmeasured,3072,3770.363512062196,0.0,0.0,0.03394898120313883,,,
warmup_unmeasured,3200,3783.546289883077,0.0,0.0,0.03383069485425949,,,
warmup_unmeasured,3328,3773.1151657461346,0.0,0.0,0.03392422292381525,,,
warmup_unmeasured,3456,3770.102415046861,0.0,0.0,0.033951332326978445,,,
warmup_unmeasured,3584,3765.5623025986056,0.0,0.0,0.033992267213761806,,,
warmup_unmeasured,3712,3778.1365722927567,0.0,0.0,0.03387913526967168,,,
warmup_unmeasured,3840,3775.2182004149886,0.0,0.0,0.03390532499179244,,,
warmup_unmeasured,3968,3777.5110792627024,0.0,0.0,0.033884745091199875,,,
warmup_unmeasured,4096,3780.984566689721,0.0,0.0,0.03385361609980464,,,
warmup_unmeasured,4224,3772.6062772128303,0.0,0.0,0.033928798977285624,,,
warmup_unmeasured,4352,3777.79012937889,0.0,0.0,0.033882242161780596,,,
warmup_unmeasured,4480,3774.4963864977512,0.0,0.0,0.03391180885955691,,,
warmup_unmeasured,4608,3775.699372922546,0.0,0.0,0.03390100412070751,,,
warmup_unmeasured,4736,3763.713491153453,0.0,0.0,0.03400896489620209,,,
warmup_unmeasured,4864,3763.164065058056,0.0,0.0,0.03401393024250865,,,
warmup_unmeasured,4992,3781.1604138432353,0.0,0.0,0.03385204169899225,,,
warmup_unmeasured,5120,3757.4664726333094,0.0,0.0,0.034065506886690855,,,
