timestamp,gpu_name,gpu_utilization_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_memory_utilization_percent,gpu_power_draw_w,gpu_temperature_c
2026/06/11 16:45:37.937,NVIDIA GeForce RTX 4090,46.0,8132.0,24564.0,35.0,155.1,43.0
2026/06/11 16:45:39.017,NVIDIA GeForce RTX 4090,61.0,8132.0,24564.0,56.0,152.77,43.0
2026/06/11 16:45:40.112,NVIDIA GeForce RTX 4090,45.0,8132.0,24564.0,31.0,150.88,42.0
2026/06/11 16:45:41.153,NVIDIA GeForce RTX 4090,25.0,8132.0,24564.0,0.0,154.72,42.0
2026/06/11 16:45:42.232,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,152.7,43.0
2026/06/11 16:45:43.273,NVIDIA GeForce RTX 4090,31.0,8132.0,24564.0,15.0,153.15,44.0
2026/06/11 16:45:44.314,NVIDIA GeForce RTX 4090,42.0,8132.0,24564.0,29.0,153.88,45.0
2026/06/11 16:45:45.353,NVIDIA GeForce RTX 4090,47.0,8132.0,24564.0,36.0,150.18,45.0
2026/06/11 16:45:46.377,NVIDIA GeForce RTX 4090,59.0,8132.0,24564.0,53.0,152.04,45.0
2026/06/11 16:45:47.461,NVIDIA GeForce RTX 4090,70.0,8132.0,24564.0,68.0,152.92,43.0
2026/06/11 16:45:48.540,NVIDIA GeForce RTX 4090,54.0,8132.0,24564.0,46.0,151.95,42.0
2026/06/11 16:45:49.619,NVIDIA GeForce RTX 4090,25.0,8132.0,24564.0,0.0,150.35,44.0
2026/06/11 16:45:50.712,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,150.65,45.0
2026/06/11 16:45:51.754,NVIDIA GeForce RTX 4090,30.0,8132.0,24564.0,14.0,150.67,44.0
2026/06/11 16:45:52.844,NVIDIA GeForce RTX 4090,42.0,8132.0,24564.0,29.0,151.42,42.0
2026/06/11 16:45:53.930,NVIDIA GeForce RTX 4090,50.0,8132.0,24564.0,40.0,154.28,44.0
2026/06/11 16:45:54.977,NVIDIA GeForce RTX 4090,57.0,8132.0,24564.0,50.0,153.53,44.0
2026/06/11 16:45:56.065,NVIDIA GeForce RTX 4090,69.0,8132.0,24564.0,67.0,153.35,44.0
2026/06/11 16:45:57.109,NVIDIA GeForce RTX 4090,23.0,8132.0,24564.0,0.0,154.72,43.0
2026/06/11 16:45:58.168,NVIDIA GeForce RTX 4090,31.0,8132.0,24564.0,15.0,154.53,44.0
2026/06/11 16:45:59.191,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,14.0,152.74,44.0
2026/06/11 16:46:00.272,NVIDIA GeForce RTX 4090,42.0,8132.0,24564.0,30.0,152.33,45.0
2026/06/11 16:46:01.352,NVIDIA GeForce RTX 4090,52.0,8132.0,24564.0,42.0,153.35,45.0
2026/06/11 16:46:02.432,NVIDIA GeForce RTX 4090,55.0,8132.0,24564.0,48.0,153.56,44.0
2026/06/11 16:46:03.492,NVIDIA GeForce RTX 4090,56.0,8132.0,24564.0,49.0,150.68,45.0
2026/06/11 16:46:04.584,NVIDIA GeForce RTX 4090,61.0,8132.0,24564.0,55.0,150.52,44.0
2026/06/11 16:46:05.677,NVIDIA GeForce RTX 4090,24.0,8132.0,24564.0,0.0,150.02,44.0
2026/06/11 16:46:06.748,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,12.0,152.13,45.0
2026/06/11 16:46:07.799,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,148.48,44.0
2026/06/11 16:46:08.880,NVIDIA GeForce RTX 4090,32.0,8132.0,24564.0,19.0,147.07,42.0
2026/06/11 16:46:09.964,NVIDIA GeForce RTX 4090,41.0,8132.0,24564.0,29.0,152.18,44.0
2026/06/11 16:46:11.049,NVIDIA GeForce RTX 4090,62.0,8132.0,24564.0,57.0,150.22,44.0
2026/06/11 16:46:12.145,NVIDIA GeForce RTX 4090,25.0,8132.0,24564.0,12.0,141.02,43.0
2026/06/11 16:46:13.241,NVIDIA GeForce RTX 4090,51.0,8132.0,24564.0,41.0,148.22,44.0
2026/06/11 16:46:14.329,NVIDIA GeForce RTX 4090,54.0,8132.0,24564.0,46.0,149.53,45.0
2026/06/11 16:46:15.413,NVIDIA GeForce RTX 4090,67.0,8132.0,24564.0,64.0,150.18,44.0
2026/06/11 16:46:16.438,NVIDIA GeForce RTX 4090,42.0,8132.0,24564.0,27.0,148.74,42.0
2026/06/11 16:46:17.520,NVIDIA GeForce RTX 4090,23.0,8132.0,24564.0,1.0,155.13,43.0
2026/06/11 16:46:18.605,NVIDIA GeForce RTX 4090,29.0,8132.0,24564.0,14.0,150.39,45.0
2026/06/11 16:46:19.665,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,149.11,44.0
2026/06/11 16:46:20.748,NVIDIA GeForce RTX 4090,58.0,8132.0,24564.0,50.0,155.27,43.0
2026/06/11 16:46:21.828,NVIDIA GeForce RTX 4090,45.0,8132.0,24564.0,33.0,154.01,44.0
2026/06/11 16:46:22.877,NVIDIA GeForce RTX 4090,66.0,8132.0,24564.0,62.0,154.09,44.0
2026/06/11 16:46:23.956,NVIDIA GeForce RTX 4090,61.0,8132.0,24564.0,57.0,154.04,45.0
2026/06/11 16:46:25.036,NVIDIA GeForce RTX 4090,26.0,8132.0,24564.0,7.0,153.59,45.0
2026/06/11 16:46:26.116,NVIDIA GeForce RTX 4090,27.0,8132.0,24564.0,12.0,153.65,44.0
2026/06/11 16:46:27.196,NVIDIA GeForce RTX 4090,28.0,8132.0,24564.0,13.0,152.93,44.0
2026/06/11 16:46:28.276,NVIDIA GeForce RTX 4090,55.0,8132.0,24564.0,46.0,152.81,45.0
2026/06/11 16:46:29.356,NVIDIA GeForce RTX 4090,52.0,8132.0,24564.0,42.0,151.64,44.0
2026/06/11 16:46:30.416,NVIDIA GeForce RTX 4090,66.0,8132.0,24564.0,62.0,152.0,45.0
