phase,env_steps,env_steps_per_second,train_updates_per_second,samples_per_second,total_train_step_time,component_seconds,latest_update_seconds,latest_sample_seconds
warmup_unmeasured,64,93.87277402557939,0.0,0.0,0.6817738227546215,,,
warmup_unmeasured,128,1853.742331819248,0.0,0.0,0.03452475508674979,,,
warmup_unmeasured,192,1896.1242612091646,0.0,0.0,0.03375306213274598,,,
warmup_unmeasured,256,1892.3557178891404,0.0,0.0,0.033820279873907566,,,
warmup_unmeasured,320,1911.8136078820958,0.0,0.0,0.033476066775619984,,,
warmup_unmeasured,384,1914.6239695583615,0.0,0.0,0.033426929265260696,,,
warmup_unmeasured,448,1906.638581710899,0.0,0.0,0.03356692800298333,,,
warmup_unmeasured,512,1902.0559586799,0.0,0.0,0.03364780079573393,,,
warmup_unmeasured,576,1903.0116506350837,0.0,0.0,0.033630902878940105,,,
warmup_unmeasured,640,1909.870643103949,0.0,0.0,0.033510122913867235,,,
warmup_unmeasured,704,1910.5510215117395,0.0,0.0,0.0334981894120574,,,
warmup_unmeasured,768,1910.283028320912,0.0,0.0,0.03350288886576891,,,
warmup_unmeasured,832,1909.6703945771173,0.0,0.0,0.03351363679394126,,,
warmup_unmeasured,896,1907.7875508030036,0.0,0.0,0.03354671224951744,,,
warmup_unmeasured,960,1903.7585051758344,0.0,0.0,0.033617709297686815,,,
warmup_unmeasured,1024,1911.3120730509481,0.0,0.0,0.03348485101014376,,,
warmup_unmeasured,1088,1851.9939104726068,0.0,0.0,0.0345573490485549,,,
warmup_unmeasured,1152,1882.3247384960719,0.0,0.0,0.034000509418547153,,,
warmup_unmeasured,1216,1900.0507555752308,0.0,0.0,0.033683310728520155,,,
warmup_unmeasured,1280,1890.9519896099212,0.0,0.0,0.03384538600221276,,,
warmup_unmeasured,1344,1901.8247648307415,0.0,0.0,0.03365189116448164,,,
warmup_unmeasured,1408,1892.6138566828727,0.0,0.0,0.033815667033195496,,,
warmup_unmeasured,1472,1901.3560486609747,0.0,0.0,0.03366018692031503,,,
warmup_unmeasured,1536,1900.9368336176046,0.0,0.0,0.033667610026896,,,
warmup_unmeasured,1600,1896.7994077811516,0.0,0.0,0.03374104807153344,,,
warmup_unmeasured,1664,1910.188377668855,0.0,0.0,0.03350454894825816,,,
warmup_unmeasured,1728,1902.9706779809733,0.0,0.0,0.03363162698224187,,,
warmup_unmeasured,1792,1910.1269195052434,0.0,0.0,0.03350562695413828,,,
warmup_unmeasured,1856,1897.8500590928506,0.0,0.0,0.033722369000315666,,,
warmup_unmeasured,1920,1912.7942536684552,0.0,0.0,0.03345890436321497,,,
warmup_unmeasured,1984,1910.8247219557852,0.0,0.0,0.03349339123815298,,,
warmup_unmeasured,2048,1904.6137856452278,0.0,0.0,0.033602613024413586,,,
warmup_unmeasured,2112,1901.0900238268814,0.0,0.0,0.033664897084236145,,,
warmup_unmeasured,2176,1903.8834555132785,0.0,0.0,0.03361550299450755,,,
warmup_unmeasured,2240,1895.8951608342156,0.0,0.0,0.03375714085996151,,,
warmup_unmeasured,2304,1908.7436313493586,0.0,0.0,0.03352990886196494,,,
warmup_unmeasured,2368,1910.4027821369752,0.0,0.0,0.03350078873336315,,,
warmup_unmeasured,2432,1898.529477602044,0.0,0.0,0.0337103009223938,,,
warmup_unmeasured,2496,1910.4553351699365,0.0,0.0,0.03349986718967557,,,
warmup_unmeasured,2560,1908.6990715797044,0.0,0.0,0.033530691638588905,,,
warmup_unmeasured,2624,1910.070694722906,0.0,0.0,0.0335066132247448,,,
warmup_unmeasured,2688,1912.1383207763897,0.0,0.0,0.03347038198262453,,,
warmup_unmeasured,2752,1915.3762847936487,0.0,0.0,0.033413799945265055,,,
warmup_unmeasured,2816,1906.1709532978596,0.0,0.0,0.03357516275718808,,,
warmup_unmeasured,2880,1903.5278991048297,0.0,0.0,0.03362178197130561,,,
warmup_unmeasured,2944,1901.322327898619,0.0,0.0,0.033660783898085356,,,
